```csv
nutrient_identifier,life_stage_name,dri_type,value_numeric,value_string,unit,source_of_goal,criterion,footnote_marker,notes,source_document
THIA,"Females 14-18 years",EAR,0.9,,mg/d,"Table 13-1","Urinary thiamin excretion & erythrocyte transketolase activity; see Ch.4",,,IOM DRI B-Vit 1998
THIA,"Females 14-18 years",RDA,1.0,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Urinary thiamin excretion & erythrocyte transketolase activity; see Ch.4",,,IOM DRI B-Vit 1998
THIA,"Females 19-30 years",EAR,0.9,,mg/d,"Table 13-1","Urinary thiamin excretion & erythrocyte transketolase activity; see Ch.4",,,IOM DRI B-Vit 1998
THIA,"Females 19-30 years",RDA,1.1,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Urinary thiamin excretion & erythrocyte transketolase activity; see Ch.4",,,IOM DRI B-Vit 1998
THIA,"Females 31-50 years",EAR,0.9,,mg/d,"Table 13-1","Urinary thiamin excretion & erythrocyte transketolase activity; see Ch.4",,,IOM DRI B-Vit 1998
THIA,"Females 31-50 years",RDA,1.1,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Urinary thiamin excretion & erythrocyte transketolase activity; see Ch.4",,,IOM DRI B-Vit 1998
THIA,"Females 51-70 years",EAR,0.9,,mg/d,"Table 13-1","Urinary thiamin excretion & erythrocyte transketolase activity; see Ch.4",,,IOM DRI B-Vit 1998
THIA,"Females 51-70 years",RDA,1.1,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Urinary thiamin excretion & erythrocyte transketolase activity; see Ch.4",,,IOM DRI B-Vit 1998
THIA,"Females >70 years",EAR,0.9,,mg/d,"Table 13-1","Urinary thiamin excretion & erythrocyte transketolase activity; see Ch.4",,,IOM DRI B-Vit 1998
THIA,"Females >70 years",RDA,1.1,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Urinary thiamin excretion & erythrocyte transketolase activity; see Ch.4",,,IOM DRI B-Vit 1998
THIA,"Pregnancy (all ages)",EAR,1.2,,mg/d,"Table 13-1","Increased energy utilization and fetal/maternal growth; see Ch.4",,,IOM DRI B-Vit 1998
THIA,"Pregnancy (all ages)",RDA,1.4,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Increased energy utilization and fetal/maternal growth; see Ch.4",,,IOM DRI B-Vit 1998
THIA,"Lactation (all ages)",EAR,1.2,,mg/d,"Table 13-1","Thiamin secretion in milk and energy cost of milk production; see Ch.4",,,IOM DRI B-Vit 1998
THIA,"Lactation (all ages)",RDA,1.4,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Thiamin secretion in milk and energy cost of milk production; see Ch.4",,,IOM DRI B-Vit 1998
RIBF,"Infants 0-6 months",AI,0.3,,mg/d,"Ch.5 Riboflavin AI Summary","Observed mean riboflavin intake from human milk",,,IOM DRI B-Vit 1998
RIBF,"Infants 7-12 months",AI,0.4,,mg/d,"Ch.5 Riboflavin AI Summary","Extrapolated from younger infants and adult EARs",,,IOM DRI B-Vit 1998
RIBF,"Children 1-3 years",EAR,0.4,,mg/d,"Table 13-1","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Children 1-3 years",RDA,0.5,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Children 4-8 years",EAR,0.5,,mg/d,"Table 13-1","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Children 4-8 years",RDA,0.6,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Males 9-13 years",EAR,0.8,,mg/d,"Table 13-1","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Males 9-13 years",RDA,0.9,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Males 14-18 years",EAR,1.1,,mg/d,"Table 13-1","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Males 14-18 years",RDA,1.3,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Males 19-30 years",EAR,1.1,,mg/d,"Table 13-1","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Males 19-30 years",RDA,1.3,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Males 31-50 years",EAR,1.1,,mg/d,"Table 13-1","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Males 31-50 years",RDA,1.3,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Males 51-70 years",EAR,1.1,,mg/d,"Table 13-1","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Males 51-70 years",RDA,1.3,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Males >70 years",EAR,1.1,,mg/d,"Table 13-1","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Males >70 years",RDA,1.3,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Females 9-13 years",EAR,0.8,,mg/d,"Table 13-1","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Females 9-13 years",RDA,0.9,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Females 14-18 years",EAR,0.9,,mg/d,"Table 13-1","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Females 14-18 years",RDA,1.0,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Females 19-30 years",EAR,0.9,,mg/d,"Table 13-1","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Females 19-30 years",RDA,1.1,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Females 31-50 years",EAR,0.9,,mg/d,"Table 13-1","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Females 31-50 years",RDA,1.1,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Females 51-70 years",EAR,0.9,,mg/d,"Table 13-1","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Females 51-70 years",RDA,1.1,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Females >70 years",EAR,0.9,,mg/d,"Table 13-1","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Females >70 years",RDA,1.1,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","EGRAC & urinary riboflavin excretion; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Pregnancy (all ages)",EAR,1.2,,mg/d,"Table 13-1","Increased energy utilization and fetal/maternal growth; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Pregnancy (all ages)",RDA,1.4,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Increased energy utilization and fetal/maternal growth; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Lactation (all ages)",EAR,1.3,,mg/d,"Table 13-1","Riboflavin secretion in milk and energy cost of milk production; see Ch.5",,,IOM DRI B-Vit 1998
RIBF,"Lactation (all ages)",RDA,1.6,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Riboflavin secretion in milk and energy cost of milk production; see Ch.5",,,IOM DRI B-Vit 1998
NIA,"Infants 0-6 months",AI,2,,,mg/d of preformed niacin,"Ch.6 Niacin AI Summary","Observed mean niacin intake from human milk (preformed niacin only)",,,IOM DRI B-Vit 1998
NIA,"Infants 7-12 months",AI,4,,,mg/d of niacin equivalents,"Ch.6 Niacin AI Summary","Extrapolated from adult EARs (niacin equivalents)",,a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Children 1-3 years",EAR,5,,,mg/d of niacin equivalents,"Table 13-1","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Children 1-3 years",RDA,6,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Children 4-8 years",EAR,6,,,mg/d of niacin equivalents,"Table 13-1","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Children 4-8 years",RDA,8,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Males 9-13 years",EAR,9,,,mg/d of niacin equivalents,"Table 13-1","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Males 9-13 years",RDA,12,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Males 14-18 years",EAR,12,,,mg/d of niacin equivalents,"Table 13-1","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Males 14-18 years",RDA,16,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Males 19-30 years",EAR,12,,,mg/d of niacin equivalents,"Table 13-1","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Males 19-30 years",RDA,16,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Males 31-50 years",EAR,12,,,mg/d of niacin equivalents,"Table 13-1","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Males 31-50 years",RDA,16,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Males 51-70 years",EAR,12,,,mg/d of niacin equivalents,"Table 13-1","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Males 51-70 years",RDA,16,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Males >70 years",EAR,12,,,mg/d of niacin equivalents,"Table 13-1","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Males >70 years",RDA,16,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Females 9-13 years",EAR,9,,,mg/d of niacin equivalents,"Table 13-1","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Females 9-13 years",RDA,12,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Females 14-18 years",EAR,11,,,mg/d of niacin equivalents,"Table 13-1","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Females 14-18 years",RDA,14,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Females 19-30 years",EAR,11,,,mg/d of niacin equivalents,"Table 13-1","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Females 19-30 years",RDA,14,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Females 31-50 years",EAR,11,,,mg/d of niacin equivalents,"Table 13-1","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Females 31-50 years",RDA,14,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Females 51-70 years",EAR,11,,,mg/d of niacin equivalents,"Table 13-1","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Females 51-70 years",RDA,14,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Females >70 years",EAR,11,,,mg/d of niacin equivalents,"Table 13-1","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Females >70 years",RDA,14,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Urinary excretion of niacin metabolites; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Pregnancy (all ages)",EAR,14,,,mg/d of niacin equivalents,"Table 13-1","Increased energy utilization and fetal/maternal growth; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Pregnancy (all ages)",RDA,18,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Increased energy utilization and fetal/maternal growth; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Lactation (all ages)",EAR,13,,,mg/d of niacin equivalents,"Table 13-1","Niacin secretion in milk and energy cost of milk production; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
NIA,"Lactation (all ages)",RDA,17,,,mg/d of niacin equivalents,"Derived from Table 13-1 EAR (EAR * 1.3, rounded)","Niacin secretion in milk and energy cost of milk production; see Ch.6",a,"1 mg of niacin = 60 mg of tryptophan",IOM DRI B-Vit 1998
VITB6,"Infants 0-6 months",AI,0.1,,mg/d,"Ch.7 Vitamin B6 AI Summary","Observed mean B6 intake from human milk",,,IOM DRI B-Vit 1998
VITB6,"Infants 7-12 months",AI,0.3,,mg/d,"Ch.7 Vitamin B6 AI Summary","Extrapolated from younger infants and adult EARs",,,IOM DRI B-Vit 1998
VITB6,"Children 1-3 years",EAR,0.4,,mg/d,"Table 13-1","Maintenance of plasma PLP levels; see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Children 1-3 years",RDA,0.5,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Maintenance of plasma PLP levels; see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Children 4-8 years",EAR,0.5,,mg/d,"Table 13-1","Maintenance of plasma PLP levels; see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Children 4-8 years",RDA,0.6,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","Maintenance of plasma PLP levels; see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Males 9-13 years",EAR,0.8,,mg/d,"Table 13-1","Maintenance of plasma PLP levels; see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Males 9-13 years",RDA,1.0,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Maintenance of plasma PLP levels; see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Males 14-18 years",EAR,1.1,,mg/d,"Table 13-1","Maintenance of plasma PLP levels; see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Males 14-18 years",RDA,1.3,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Maintenance of plasma PLP levels; see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Males 19-30 years",EAR,1.1,,mg/d,"Table 13-1","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Males 19-30 years",RDA,1.3,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Males 31-50 years",EAR,1.1,,mg/d,"Table 13-1","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Males 31-50 years",RDA,1.3,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Males 51-70 years",EAR,1.4,,mg/d,"Table 13-1","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Males 51-70 years",RDA,1.7,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Males >70 years",EAR,1.4,,mg/d,"Table 13-1","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Males >70 years",RDA,1.7,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Females 9-13 years",EAR,0.8,,mg/d,"Table 13-1","Maintenance of plasma PLP levels; see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Females 9-13 years",RDA,1.0,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Maintenance of plasma PLP levels; see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Females 14-18 years",EAR,1.0,,mg/d,"Table 13-1","Maintenance of plasma PLP levels; see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Females 14-18 years",RDA,1.2,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","Maintenance of plasma PLP levels; see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Females 19-30 years",EAR,1.1,,mg/d,"Table 13-1","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Females 19-30 years",RDA,1.3,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Females 31-50 years",EAR,1.1,,mg/d,"Table 13-1","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Females 31-50 years",RDA,1.3,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Females 51-70 years",EAR,1.3,,mg/d,"Table 13-1","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Females 51-70 years",RDA,1.5,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Females >70 years",EAR,1.3,,mg/d,"Table 13-1","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Females >70 years",RDA,1.5,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Maintenance of plasma PLP levels (≥ 20 nmol/L); see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Pregnancy (all ages)",EAR,1.6,,mg/d,"Table 13-1","Maintenance of plasma PLP levels and fetal/maternal growth; see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Pregnancy (all ages)",RDA,1.9,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Maintenance of plasma PLP levels and fetal/maternal growth; see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Lactation (all ages)",EAR,1.7,,mg/d,"Table 13-1","Maintenance of plasma PLP levels and B6 secretion in milk; see Ch.7",,,IOM DRI B-Vit 1998
VITB6,"Lactation (all ages)",RDA,2.0,,mg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Maintenance of plasma PLP levels and B6 secretion in milk; see Ch.7",,,IOM DRI B-Vit 1998
FOL_DFE,"Infants 0-6 months",AI,65,,,µg/d of DFE,"Ch.8 Folate AI Summary","Observed mean folate intake from human milk",,b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Infants 7-12 months",AI,80,,,µg/d of DFE,"Ch.8 Folate AI Summary","Extrapolated from younger infants and adult EARs",,b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Children 1-3 years",EAR,120,,,µg/d of DFE,"Table 13-1","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Children 1-3 years",RDA,150,,,µg/d of DFE,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Children 4-8 years",EAR,160,,,µg/d of DFE,"Table 13-1","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Children 4-8 years",RDA,200,,,µg/d of DFE,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Males 9-13 years",EAR,250,,,µg/d of DFE,"Table 13-1","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Males 9-13 years",RDA,300,,,µg/d of DFE,"Derived from Table 13-1 EAR (EAR * 1.2)","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Males 14-18 years",EAR,330,,,µg/d of DFE,"Table 13-1","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Males 14-18 years",RDA,400,,,µg/d of DFE,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Males 19-30 years",EAR,320,,,µg/d of DFE,"Table 13-1","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Males 19-30 years",RDA,400,,,µg/d of DFE,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Males 31-50 years",EAR,320,,,µg/d of DFE,"Table 13-1","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Males 31-50 years",RDA,400,,,µg/d of DFE,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Males 51-70 years",EAR,320,,,µg/d of DFE,"Table 13-1","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Males 51-70 years",RDA,400,,,µg/d of DFE,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Males >70 years",EAR,320,,,µg/d of DFE,"Table 13-1","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Males >70 years",RDA,400,,,µg/d of DFE,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
